sentence	chars	lm-gpt2	lm-gpt2-div-chars	lm-gpt2-div-words	lm-gpt2-large	lm-gpt2-large-div-chars	lm-gpt2-large-div-words	lm-gpt2-medium	lm-gpt2-medium-div-chars	lm-gpt2-medium-div-words	words
"It was said that the Doctor frequently took tea in the morning at an old teahouse there, and so it was that one morning Judge Fang happened to drop in on the place."	164.0	-156.57952880859375	-0.9547532244426448	-4.7448342063210225	-148.60443115234375	-0.906124580197218	-4.503164580374053	-143.24005126953125	-0.8734149467654344	-4.34060761422822	33.0
"A formal apology was not long in coming, and she did not hear again from the young man."	87.0	-74.4374008178711	-0.8556023082513918	-4.135411156548394	-70.80912780761719	-0.8138980207772091	-3.9338404337565103	-75.16831970214844	-0.8640036747373384	-4.176017761230469	18.0
"A magic book."	13.0	-26.97161102294922	-2.074739309457632	-8.99053700764974	-29.197622299194336	-2.245970946091872	-9.732540766398111	-28.33416748046875	-2.1795513446514425	-9.444722493489584	3.0
"So elaborate waiting-room etiquette had flourished, and sophisticated people all over the world understood that when they called upon someone, even a close friend, they could expect to spend some time sipping tea and perusing magazines in a front room infested with unobtrusive surveillance equipment."	301.0	-235.73377990722656	-0.7831687040107195	-5.238528442382813	-213.4624481201172	-0.7091775685053727	-4.743609958224827	-217.0664825439453	-0.7211511047971605	-4.823699612087673	45.0
"This was not highly unusual, in and of itself; chevalines were smart enough to be sent out in search of specific persons."	121.0	-121.96768188476562	-1.0079973709484762	-5.543985540216619	-118.12831115722656	-0.9762670343572443	-5.369468688964844	-122.56974029541016	-1.0129730602926459	-5.571351831609553	22.0
"Who’s Burt?"	11.0	-56.45517349243164	-5.132288499311968	-28.22758674621582	-51.66630172729492	-4.696936520663175	-25.83315086364746	-57.3339729309082	-5.212179357355291	-28.6669864654541	2.0
"He imagined an antelope racing for its life across a dusty savannah, and behind it, a streaking blur."	101.0	-111.91140747070312	-1.1080337373336944	-6.2173004150390625	-96.76589965820312	-0.9580782144376547	-5.375883314344618	-101.99624633789062	-1.00986382512763	-5.6664581298828125	18.0
"“She’d get so nuts, guys on the men’s team would wrestle her down and carry her back to her room,” Jessie Polini, her best friend at UNC, said."	143.0	-233.14332580566406	-1.6303729077319165	-8.326547350202288	-210.78155517578125	-1.4739968893411277	-7.527912684849331	-220.0060272216797	-1.538503686864893	-7.857358115059989	28.0
"As Ann was cresting the mountain, Juan was taking a seat on a rock and examining what was left of the strap."	108.0	-116.25773620605469	-1.0764605204264324	-5.284442554820668	-106.13880157470703	-0.9827666812472873	-4.824490980668501	-112.57081604003906	-1.0423223707411025	-5.11685527454723	22.0
"Vegetables, grains, and legumes contain all the amino acids necessary to build muscle from scratch."	99.0	-65.90612030029297	-0.6657183868716462	-4.393741353352865	-53.683067321777344	-0.5422532052704783	-3.578871154785156	-61.28468704223633	-0.619037242850872	-4.085645802815756	15.0
"Dr. Bramble then focused on a little-known tendon behind the head known as the nuchal ligament."	95.0	-103.60283660888672	-1.0905561748303865	-6.47517728805542	-88.85215759277344	-0.9352858693976152	-5.55325984954834	-89.19503784179688	-0.9388951351768092	-5.574689865112305	16.0
"And you keep doing things you’re not supposed to."	49.0	-71.60980987548828	-1.4614246913364954	-7.9566455417209205	-63.77806854248047	-1.301593235560826	-7.086452060275608	-66.7174072265625	-1.3615797393176021	-7.413045247395833	9.0
"“Wait,” I said, starting to understand."	39.0	-82.34524536132812	-2.1114165477263622	-13.724207560221354	-84.76425170898438	-2.1734423515124197	-14.127375284830729	-72.26835632324219	-1.8530347775190303	-12.044726053873697	6.0
"I’d met Eric the year before, right after I’d thrown off my running shoes in disgust and sprawled in an icy creek."	114.0	-142.523193359375	-1.2502034505208333	-6.478326970880682	-140.58255004882812	-1.2331802635862117	-6.390115911310369	-148.35684204101562	-1.30137580737733	-6.743492820046165	22.0
"“The last thing I want to do is disqualify a runner,” the race director said, “but Rick left us no choice.”"	107.0	-141.3609161376953	-1.3211300573616385	-6.73147219703311	-136.4586944580078	-1.2753149014767085	-6.498033069428944	-128.69989013671875	-1.2028027115581192	-6.128566196986607	21.0
"He had to be joking."	20.0	-29.383502960205078	-1.469175148010254	-5.876700592041016	-26.957868576049805	-1.3478934288024902	-5.391573715209961	-27.297931671142578	-1.364896583557129	-5.459586334228516	5.0
"“Looks good,” he called."	24.0	-74.7579574584961	-3.114914894104004	-18.689489364624023	-73.12345886230469	-3.046810785929362	-18.280864715576172	-61.88394546508789	-2.5784977277119956	-15.470986366271973	4.0
"Even your breakfast burrito plays a role; Lieberman’s investigations had revealed that as our diet shifted over the centuries from chewy stuff like raw roots and wild game and gave way to mushy cooked staples like spaghetti and ground beef, our faces began to shrink."	267.0	-264.5184020996094	-0.9907056258412336	-5.878186713324653	-249.28746032714844	-0.9336609001016796	-5.539721340603299	-253.7452392578125	-0.9503567013401217	-5.638783094618056	45.0
"The odds against his race coming off were roughly—actually, there were no odds."	79.0	-86.55767822265625	-1.0956668129450158	-6.658282940204327	-84.30455780029297	-1.0671463012695312	-6.48496598463792	-92.68608093261719	-1.1732415307926227	-7.129698533278245	13.0
"But Manuel Luna had spent a year reflecting on gringo-style racing, and he’d done a nice job of briefing his new teammates."	123.0	-160.09616088867188	-1.3015948039729421	-7.277098222212358	-158.85208129882812	-1.2914803357628304	-7.220549149946733	-161.8979034423828	-1.3162431174177465	-7.3589956110174	22.0
"The big, fat flaw in Rick Fisher’s plan was the fact that the Leadville race happens to be held in Leadville."	109.0	-138.2386932373047	-1.2682448920853642	-6.582794916062128	-133.63018798828125	-1.2259650274154243	-6.36334228515625	-132.65533447265625	-1.2170214171803326	-6.316920689174107	21.0
"That’s big bucks for sneaks you’ll have to toss in the garbage in ninety days, but at least you’ll never limp again."	116.0	-170.63409423828125	-1.470983571019666	-7.7560951926491475	-144.9109649658203	-1.2492324566018993	-6.586862043900923	-162.9783477783203	-1.404985756709658	-7.408106717196378	22.0
"We fitted into single file and shuffled into an easy jog."	57.0	-73.70417785644531	-1.2930557518674617	-6.700379805131392	-75.61845397949219	-1.326639543499863	-6.8744049072265625	-72.99253845214844	-1.2805708500376918	-6.635685313831676	11.0
"It didn’t, yet the doctrine of motivation and “one last push” continued for three months, despite appalling losses."	115.0	-174.02481079101562	-1.5132592242697012	-9.668045043945312	-177.9048614501953	-1.5469987952190898	-9.88360341389974	-174.4718475341797	-1.5171465002972147	-9.692880418565538	18.0
"The business grew, paying his way through law school at UCLA."	61.0	-66.19625854492188	-1.0851845663101947	-6.017841685901988	-62.524322509765625	-1.0249888936027152	-5.6840293190696025	-61.2628288269043	-1.004308669293513	-5.569348075173118	11.0
"But, another force, entropy, is also at work."	45.0	-57.57177734375	-1.2793728298611111	-7.19647216796875	-52.99958419799805	-1.1777685377332898	-6.624948024749756	-52.485137939453125	-1.1663363986545139	-6.560642242431641	8.0
"A scientist tests a belief by experiment or by the analysis of real-world data."	79.0	-79.4415283203125	-1.0055889660799051	-5.674394880022321	-79.53744506835938	-1.0068031021311312	-5.681246076311384	-85.08200073242188	-1.0769873510433148	-6.0772857666015625	14.0
"Thinking about her store, Stephanie diagnosed her challenge to be competition with the local supermarket."	105.0	-102.37007904052734	-0.974953133719308	-6.824671936035156	-95.8889389038086	-0.9132279895600819	-6.392595926920573	-95.551025390625	-0.910009765625	-6.370068359375	15.0
"In his own mind, he believed in courage, boldness, motivation, and push."	72.0	-74.46900939941406	-1.0342917972140842	-6.205750783284505	-75.6918716430664	-1.051275995042589	-6.307655970255534	-75.90616607666016	-1.05425230662028	-6.32551383972168	12.0
"The logic of the chain is at work in situations ranging from mountain climbing to the space shuttle to aesthetic judgment—situations in which the quality of components or subparts matters."	188.0	-168.0795440673828	-0.8940401280179937	-5.60265146891276	-149.88986206054688	-0.7972865003220578	-4.996328735351563	-155.88491821289062	-0.8291750968770778	-5.196163940429687	30.0
"As a start-up, this had been the company’s only activity and the team was justly proud of their accomplishment."	111.0	-123.84773254394531	-1.1157453382337414	-6.518301712839227	-117.68026733398438	-1.0601825885944538	-6.19369828073602	-119.04130554199219	-1.0724441940720018	-6.265331870631168	19.0
"Braniff International had also reacted to the new era by adding new long-haul routes."	85.0	-95.37986755371094	-1.1221160888671875	-6.8128476824079245	-87.28164672851562	-1.0268429026884192	-6.234403337751116	-94.67261505126953	-1.1137954711914062	-6.762329646519253	14.0
"More precisely, a star’s speed in its swing about the core should be proportional to the inverse square root of its distance from the center."	141.0	-128.587158203125	-0.9119656610150709	-5.143486328125	-118.65409088134766	-0.8415183750450188	-4.7461636352539065	-116.13056182861328	-0.82362100587669	-4.645222473144531	25.0
"Learning from others can be more than simply listening to them, watching them, or reading what they write."	106.0	-72.6511459350586	-0.685388169198666	-4.036174774169922	-63.3785285949707	-0.5979106471223651	-3.5210293663872614	-68.21619415283203	-0.6435490014418116	-3.789788564046224	18.0
"One example of good strategy in which you can see the coordinated elements of design is the U.S. heavy-truck business."	118.0	-120.11769104003906	-1.0179465342376193	-6.0058845520019535	-109.52458190917969	-0.9281744229591499	-5.476229095458985	-113.2278060913086	-0.9595576787399034	-5.66139030456543	20.0
"Just as an individual cannot solve five problems at once, most organizations concentrate on a few critical issues at any one time."	130.0	-95.12460327148438	-0.7317277174729567	-4.32384560324929	-89.56669616699219	-0.6889745858999399	-4.071213462136009	-90.1377182006836	-0.6933670630821815	-4.0971690091219815	22.0
"By 1890, this stream of religious philosophy had morphed into a set of mystical beliefs in the power of thought to affect the material world beyond the self."	157.0	-131.55746459960938	-0.8379456343924164	-4.698480878557477	-117.33586120605469	-0.7473621732869725	-4.19056647164481	-117.00520324707031	-0.7452560716373905	-4.17875725882394	28.0
"This projection had nothing to do with competition, supply, demand, capacity, or market forces."	95.0	-77.93132781982422	-0.8203297665244654	-5.56652341570173	-77.11750793457031	-0.8117632414165296	-5.508393423897879	-73.34848022460938	-0.7720892655222039	-5.239177158900669	14.0
"Standing in the hangar-sized Hughes Electronics fabrication facility, I marvel at the huge communications satellite."	116.0	-98.68660736083984	-0.8507466151796538	-6.5791071573893225	-96.95233154296875	-0.8357959615773168	-6.46348876953125	-99.99140930175781	-0.8619949077737743	-6.666093953450521	15.0
"There are too many moving parts."	32.0	-28.351299285888672	-0.885978102684021	-4.725216547648112	-28.526865005493164	-0.8914645314216614	-4.754477500915527	-28.53223991394043	-0.8916324973106384	-4.755373318990071	6.0
"“You are still looking five to ten years ahead?” I query."	57.0	-99.93759155273438	-1.753291079872533	-9.085235595703125	-99.98602294921875	-1.7541407534950657	-9.089638449928977	-96.56810760498047	-1.694177326403166	-8.778918873180043	11.0
"We do not know."	15.0	-22.802406311035156	-1.5201604207356771	-5.700601577758789	-23.424406051635742	-1.5616270701090496	-5.8561015129089355	-22.975387573242188	-1.5316925048828125	-5.743846893310547	4.0
"The diagnosis for the situation should replace the overwhelming complexity of reality with a simpler story, a story that calls attention to its crucial aspects."	160.0	-127.27167510986328	-0.7954479694366455	-5.090867004394531	-123.1600341796875	-0.7697502136230469	-4.9264013671875	-126.8975830078125	-0.7931098937988281	-5.0759033203125	25.0
"And when you hear the sizzle, you can add it all."	49.0	-58.242027282714844	-1.188612801688058	-5.294729752974077	-59.24009323120117	-1.2089814945143096	-5.385463021018288	-56.255897521972656	-1.148079541264748	-5.114172501997515	11.0
"Food doesn't have to be complicated to be delicious."	52.0	-38.340843200683594	-0.7373239077054538	-4.260093688964844	-30.570844650268555	-0.5879008586590106	-3.396760516696506	-33.23759078979492	-0.6391844382652869	-3.693065643310547	9.0
"The recipe for this cheese is simple."	37.0	-33.9998893737793	-0.9189159290210621	-4.8571270533970425	-34.033077239990234	-0.9198128983781144	-4.861868177141462	-33.462799072265625	-0.904399974926098	-4.780399867466518	7.0
"For centuries, it was common for rural Italian families to raise two or three pigs each year."	93.0	-73.43598937988281	-0.7896342944073421	-4.319764081169577	-64.559814453125	-0.6941915532594086	-3.7976361443014706	-67.37742614746094	-0.7244884531985047	-3.963378008674173	17.0
"This is the noble part of the fat."	34.0	-48.46200180053711	-1.4253529941334444	-6.057750225067139	-47.084110260009766	-1.3848267723532284	-5.885513782501221	-48.76947021484375	-1.434396182789522	-6.096183776855469	8.0
"So this, this and this becomes the soppressata."	47.0	-67.49235534667969	-1.436007560567653	-8.436544418334961	-59.64238739013672	-1.2689869657475898	-7.45529842376709	-62.27692794799805	-1.3250410201701712	-7.784615993499756	8.0
"I'm trying to peel the cheese off the bottom of the pot."	56.0	-50.70848083496094	-0.9055085863385882	-4.225706736246745	-48.67648696899414	-0.8692229815891811	-4.056373914082845	-49.71250915527344	-0.8877233777727399	-4.142709096272786	12.0
"But the amazing thing about this ragù is we are layering so many different kinds of fat into it."	96.0	-96.55384826660156	-1.0057692527770996	-5.081781487715872	-91.8609848022461	-0.9568852583567301	-4.834788673802426	-92.03167724609375	-0.9586633046468099	-4.843772486636513	19.0
"Sometimes for a lasagna, I make it only with a soft flour, because I want a really silky, soft noodle."	102.0	-110.16400909423828	-1.0800393048454733	-5.508200454711914	-98.93862915039062	-0.9699865602979473	-4.946931457519531	-105.99857330322266	-1.0392016990512025	-5.299928665161133	20.0
"These are the kinds of things it would never occur to you to eat if you were just looking at that pig's head."	109.0	-83.69413757324219	-0.7678361245251577	-3.6388755466627036	-82.22293090820312	-0.7543388156715883	-3.5749100394870923	-84.89582824707031	-0.7788608096061497	-3.6911229672639267	23.0
"What am I tasting for?"	22.0	-36.61308670043945	-1.6642312136563389	-7.3226173400878904	-35.33938217163086	-1.6063355532559482	-7.0678764343261715	-36.583919525146484	-1.6629054329612039	-7.316783905029297	5.0
"And you taught me that it takes a lot of olive oil to make sofrito."	67.0	-69.10102844238281	-1.0313586334684002	-4.6067352294921875	-66.98068237304688	-0.9997116772096548	-4.465378824869791	-67.1838607788086	-1.0027441907284864	-4.478924051920573	15.0
"It is just like music."	22.0	-31.619888305664062	-1.4372676502574573	-6.323977661132813	-31.590560913085938	-1.4359345869584517	-6.318112182617187	-32.04389572143555	-1.4565407146107068	-6.408779144287109	5.0
"I have something for you."	25.0	-22.524906158447266	-0.9009962463378907	-4.504981231689453	-24.588193893432617	-0.9835277557373047	-4.917638778686523	-24.013919830322266	-0.9605567932128907	-4.802783966064453	5.0
"Most of the flavor of meat is in its fat."	41.0	-50.2140998840332	-1.224734143513005	-5.02140998840332	-43.0648078918457	-1.0503611680937976	-4.306480789184571	-45.85662078857422	-1.118454165574981	-4.585662078857422	10.0
"That's what makes this the queen of Parmesans."	46.0	-62.52031707763672	-1.3591373277747112	-7.81503963470459	-58.44013977050781	-1.2704378210979959	-7.305017471313477	-63.45298385620117	-1.3794126925261125	-7.9316229820251465	8.0
"It's bringing tears to my eyes."	31.0	-30.718017578125	-0.9909037928427419	-5.119669596354167	-33.279605865478516	-1.0735356730799521	-5.546600977579753	-31.134750366210938	-1.0043467860068045	-5.189125061035156	6.0
"And you were standing there at the end of the of the kitchen, just chopping like this."	86.0	-84.99173736572266	-0.988276015880496	-4.999513962689568	-84.32439422607422	-0.9805162119310956	-4.960258483886719	-81.4675064086914	-0.9472965861475745	-4.7922062593347885	17.0
"And then when I came to you, you taught me the simplest way."	60.0	-57.107913970947266	-0.9517985661824544	-4.392916459303636	-56.35421371459961	-0.9392368952433269	-4.334939516507662	-57.4193115234375	-0.956988525390625	-4.4168701171875	13.0
"The essential flavor of any dish starts with the fat it's cooked in."	68.0	-66.84852600097656	-0.9830665588378906	-5.1421943077674275	-59.103050231933594	-0.8691625034107882	-4.546388479379507	-61.77256774902344	-0.908420113956227	-4.751735980694111	13.0
"That's something I need to know about."	38.0	-32.453678131103516	-0.8540441613448294	-4.636239733014788	-33.477664947509766	-0.8809911828292044	-4.782523563929966	-33.521636962890625	-0.8821483411287007	-4.788805280412946	7.0
"Copy that."	10.0	-23.361968994140625	-2.3361968994140625	-11.680984497070312	-26.544837951660156	-2.6544837951660156	-13.272418975830078	-25.85300064086914	-2.585300064086914	-12.92650032043457	2.0
"Keep it going."	14.0	-22.457752227783203	-1.6041251591273717	-7.485917409261067	-23.284435272216797	-1.6631739480154855	-7.761478424072266	-23.909774780273438	-1.707841055733817	-7.9699249267578125	3.0
"Thank you."	10.0	-14.269752502441406	-1.4269752502441406	-7.134876251220703	-15.754311561584473	-1.5754311561584473	-7.877155780792236	-15.973897933959961	-1.5973897933959962	-7.9869489669799805	2.0
"I mean, I'm just not at that stage where I..."	45.0	-49.33048629760742	-1.0962330288357205	-4.9330486297607425	-49.086463928222656	-1.090810309516059	-4.9086463928222654	-48.621849060058594	-1.0804855346679687	-4.86218490600586	10.0
"What the hell is this?"	22.0	-21.329879760742188	-0.9695399891246449	-4.2659759521484375	-20.837080001831055	-0.9471400000832297	-4.167416000366211	-21.37332534790039	-0.9715147885409269	-4.274665069580078	5.0
"I'm just saying."	16.0	-22.261547088623047	-1.3913466930389404	-7.420515696207683	-23.344701766967773	-1.4590438604354858	-7.781567255655925	-22.697032928466797	-1.4185645580291748	-7.565677642822266	3.0
"Oh, my God."	11.0	-20.614349365234375	-1.8740317604758523	-6.871449788411458	-21.386207580566406	-1.9442006891424006	-7.128735860188802	-21.453332901000977	-1.9503029910000889	-7.151110967000325	3.0
"It is fascinating, really."	26.0	-29.931007385253906	-1.1511925917405348	-7.482751846313477	-28.666603088378906	-1.1025616572453425	-7.166650772094727	-28.54216957092285	-1.097775752727802	-7.135542392730713	4.0
"Either that, or I turn you in."	30.0	-40.53167724609375	-1.351055908203125	-5.790239606584821	-39.34972381591797	-1.311657460530599	-5.62138911655971	-40.14292526245117	-1.3380975087483724	-5.734703608921596	7.0
"You just gonna sit there?"	25.0	-35.12815475463867	-1.405126190185547	-7.025630950927734	-34.68032455444336	-1.3872129821777344	-6.936064910888672	-36.42835235595703	-1.4571340942382813	-7.285670471191406	5.0
"Well, actually, it's just basic chemistry..."	44.0	-43.355098724365234	-0.9853431528264825	-7.225849787394206	-45.58766555786133	-1.036083308133212	-7.597944259643555	-45.396751403808594	-1.0317443500865588	-7.566125233968099	6.0
"It's a damn shame."	18.0	-23.893795013427734	-1.3274330563015408	-5.973448753356934	-24.29887580871582	-1.3499375449286566	-6.074718952178955	-23.920978546142578	-1.3289432525634766	-5.9802446365356445	4.0
"Everybody, listen up, listen up, listen up."	43.0	-37.2441520690918	-0.8661430713742279	-5.320593152727399	-39.260379791259766	-0.9130320881688317	-5.6086256844656805	-41.149478912353516	-0.9569646258686864	-5.878496987479074	7.0
"I said, ""fuck you."""	19.0	-31.860218048095703	-1.6768535814787213	-7.965054512023926	-31.966615676879883	-1.6824534566778886	-7.991653919219971	-30.855369567871094	-1.6239668193616366	-7.713842391967773	4.0
"Mommy, could you zip up my big boy pants."	41.0	-63.81322479248047	-1.5564201168897676	-7.090358310275608	-53.047637939453125	-1.2938448277915395	-5.89418199327257	-55.55447769165039	-1.3549872607719609	-6.17271974351671	9.0
"Can you just... drop me off at a corner somewhere?"	50.0	-57.5402717590332	-1.150805435180664	-5.75402717590332	-50.512908935546875	-1.0102581787109375	-5.051290893554688	-55.89545440673828	-1.1179090881347655	-5.589545440673828	10.0
"That's why the respirators."	27.0	-40.88238525390625	-1.5141624168113426	-10.220596313476562	-39.793792724609375	-1.4738441749855324	-9.948448181152344	-39.68222427368164	-1.469712010136357	-9.92055606842041	4.0
"No, I didn't think so."	22.0	-23.020145416259766	-1.0463702461936257	-4.6040290832519535	-25.244747161865234	-1.1474885073575107	-5.048949432373047	-24.13336181640625	-1.0969709916548296	-4.82667236328125	5.0
"Would you shut up and help me?"	30.0	-33.57862854003906	-1.119287618001302	-4.796946934291294	-32.755210876464844	-1.0918403625488282	-4.679315839494977	-34.20642852783203	-1.1402142842610676	-4.886632646833148	7.0
"What about the girls?"	21.0	-27.327804565429688	-1.3013240269252233	-6.831951141357422	-25.4940185546875	-1.2140008835565477	-6.373504638671875	-25.713623046875	-1.224458240327381	-6.42840576171875	4.0
"It really says that?"	20.0	-33.97736358642578	-1.698868179321289	-8.494340896606445	-35.931331634521484	-1.7965665817260743	-8.982832908630371	-34.046058654785156	-1.7023029327392578	-8.511514663696289	4.0
"What are you doing?"	19.0	-18.427082061767578	-0.9698464243035567	-4.6067705154418945	-19.635982513427734	-1.0334727638646175	-4.908995628356934	-18.58768653869629	-0.978299291510331	-4.646921634674072	4.0
"I've got to meet my dad."	24.0	-34.69871139526367	-1.4457796414693196	-5.783118565877278	-33.981197357177734	-1.415883223215739	-5.663532892862956	-34.12013626098633	-1.4216723442077637	-5.686689376831055	6.0
"It looks like a woman's purse."	30.0	-36.18754577636719	-1.2062515258789062	-6.031257629394531	-33.955509185791016	-1.1318503061930338	-5.659251530965169	-34.99422073364258	-1.1664740244547527	-5.832370122273763	6.0
"Are you sure?"	13.0	-21.72582244873047	-1.6712171114408052	-7.241940816243489	-18.99500274658203	-1.461154057429387	-6.331667582194011	-19.816925048828125	-1.5243788499098558	-6.605641682942708	3.0
"I don't want the lipstick that much."	36.0	-43.26325988769531	-1.2017572191026475	-6.1804656982421875	-43.39335632324219	-1.2053710089789496	-6.1990509033203125	-43.031211853027344	-1.1953114403618708	-6.147315979003906	7.0
"Please, take those off!"	23.0	-37.10280227661133	-1.6131653163744055	-9.275700569152832	-35.024192810058594	-1.522790991741678	-8.756048202514648	-37.18386459350586	-1.6166897649350374	-9.295966148376465	4.0
"You'd better show me that too."	30.0	-37.376094818115234	-1.2458698272705078	-6.229349136352539	-37.20820999145508	-1.240273666381836	-6.20136833190918	-37.774925231933594	-1.2591641743977864	-6.295820871988933	6.0
"Do you sell these?"	18.0	-28.31015396118164	-1.5727863311767578	-7.07753849029541	-27.313199996948242	-1.517399999830458	-6.8282999992370605	-28.16981315612793	-1.564989619784885	-7.042453289031982	4.0
"What did Frances leave me?"	26.0	-45.63452911376953	-1.7551741966834435	-9.126905822753907	-39.64125061035156	-1.5246634850135217	-7.928250122070312	-41.91911315917969	-1.6122735830453725	-8.383822631835937	5.0
"It's not a purse."	17.0	-34.074886322021484	-2.00440507776597	-8.518721580505371	-32.4381103515625	-1.9081241383272058	-8.109527587890625	-30.442832946777344	-1.7907548792221968	-7.610708236694336	4.0
"If she isn't, cremating her was a big mistake."	46.0	-57.3602294921875	-1.2469615106997283	-6.373358832465278	-53.93281555175781	-1.172452511994735	-5.992535061306423	-55.94855499267578	-1.2162729346233865	-6.216506110297309	9.0
"Not the way they're doing it."	29.0	-32.708473205566406	-1.1278783863988415	-5.451412200927734	-33.693172454833984	-1.1618335329253098	-5.615528742472331	-31.795211791992188	-1.096386613516972	-5.299201965332031	6.0
"I have just a few questions to ask, so I'll get out my official forms."	70.0	-69.75726318359375	-0.9965323311941964	-4.650484212239584	-64.99689483642578	-0.9285270690917968	-4.333126322428385	-64.1148452758789	-0.9159263610839844	-4.274323018391927	15.0
"Will you tell him who you are?"	30.0	-32.202213287353516	-1.0734071095784505	-4.600316183907645	-29.904075622558594	-0.9968025207519531	-4.272010803222656	-30.371334075927734	-1.0123778025309245	-4.3387620108468195	7.0
"Only okay."	10.0	-24.563514709472656	-2.456351470947266	-12.281757354736328	-26.559772491455078	-2.655977249145508	-13.279886245727539	-25.3321533203125	-2.53321533203125	-12.66607666015625	2.0
"Reverend Pong will say when to put them on."	43.0	-68.41468811035156	-1.5910392583802688	-7.601632012261285	-69.88536071777344	-1.6252409469249636	-7.7650400797526045	-65.66091918945312	-1.5269981206849563	-7.295657687717014	9.0
"All right, I'll see you."	24.0	-29.913768768310547	-1.2464070320129395	-5.982753753662109	-30.685123443603516	-1.2785468101501465	-6.137024688720703	-30.122323989868164	-1.2550968329111736	-6.024464797973633	5.0
"They made me."	13.0	-26.34435272216797	-2.0264886709359975	-8.781450907389322	-25.100004196166992	-1.9307695535513072	-8.366668065388998	-25.195114135742188	-1.938085702749399	-8.398371378580729	3.0
"It was spotted Saturday by patrol aircraft."	43.0	-52.383705139160156	-1.2182257009107014	-7.4833864484514505	-49.75114440917969	-1.157003358353016	-7.107306344168527	-51.10708236694336	-1.188536799231241	-7.3010117667061945	7.0
